COD,Nome,Numeracao,Tipo,Cor,Marca,Descricao,Preco,Promo,Imagem
7,Sandáila,32,Sapato,Verde,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,75,https://i.ibb.co/nqvTycSx/Sanalia02.png
15,Tenisas,40,Sapato,Rosa,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
13,Tenisas,38;39;40;32;33,Sapato,Azul,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
9,Tenisas,34;35,Sapato,Verde,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
11,Tenis g,36;37;38;39;40,Tênis,Verde,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,60,https://i.ibb.co/PG5L7bzJ/Tenis01.png
7,Tenis h,32,Tênis,Verde,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,75,https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png
8,Tenis h,33;40,Tênis,Rosa,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png
13,Tenis,38;39;40,Sapato,Azulf,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
7,Sandáila,32,Sapato,Azulf,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,75,https://i.ibb.co/nqvTycSx/Sanalia02.png
10,Tenise,35;36;37;38,Sapato,Verde,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
13,Tenis,38;39;40,Sapato,Azul2,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
9,Tenis,34;35;36;37;38,Sapato,Verde1,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
14,Tenisq,39;40;32,Sapato,Verde,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
8,Tenisq,33;40,Sapato,Rosa,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
15,Tenis Adidas,37,Sapato,Rosa,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",80,,https://i.ibb.co/1GrHbr30/bota.png
15,Tenis Adidas Outlet,38,Sapato,Rosa,Azaléia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,175,https://i.ibb.co/1GrHbr30/bota.png
